INVOICE_ID,CUSTOMER_ID,INVOICE_AMOUNT_PAID_CENTS
in_000000151839,cus_000000012136,99000
in_000000151853,cus_000000012137,9900
in_000000151888,cus_000000012138,9900
in_000000152196,cus_000000012164,9900
in_000000152301,cus_000000012172,9900
in_000000152329,cus_000000012174,199900
in_000000152413,cus_000000012180,79900
in_000000152553,cus_000000012190,29900
in_000000152560,cus_000000012191,199900
in_000000152602,cus_000000012194,9900
in_000000153008,cus_000000012227,199900
in_000000153295,cus_000000012256,29900
in_000000153463,cus_000000012266,29900
in_000000153477,cus_000000012270,9900
in_000000153554,cus_000000012280,9900
in_000000153694,cus_000000012295,9900
in_000000151733,cus_000000012128,79900
in_000000151831,cus_000000012135,29900
in_000000152006,cus_000000012151,99000
in_000000152027,cus_000000012155,9900
in_000000151680,cus_000000012120,9900
in_000000151722,cus_000000012126,9900
in_000000151953,cus_000000012146,9900
in_000000152338,cus_000000012175,99000
in_000000152646,cus_000000012196,299000
in_000000152681,cus_000000012201,199900
in_000000152870,cus_000000012216,99000
in_000000152947,cus_000000012225,29900
in_000000153122,cus_000000012235,79900
in_000000153486,cus_000000012271,9900
in_000000153563,cus_000000012281,99000
in_000000153577,cus_000000012282,79900
in_000000153633,cus_000000012287,9900
in_000000154053,cus_000000012325,9900
in_000000154312,cus_000000012337,79900
in_000000154382,cus_000000012342,79900
in_000000154732,cus_000000012365,79900
in_000000155040,cus_000000012392,29900
in_000000155208,cus_000000012418,99000
in_000000155278,cus_000000012424,9900
in_000000155320,cus_000000012426,29900
in_000000155642,cus_000000012445,9900
in_000000156167,cus_000000012481,9900
in_000000156447,cus_000000012501,9900
in_000000156475,cus_000000012502,9900
in_000000156489,cus_000000012503,29900
in_000000156594,cus_000000012508,29900
in_000000156825,cus_000000012528,9900
in_000000157231,cus_000000012554,29900
in_000000157266,cus_000000012556,9900
in_000000157308,cus_000000012560,9900
in_000000157385,cus_000000012566,9900
in_000000157427,cus_000000012571,9900
in_000000158197,cus_000000012643,9900
in_000000154240,cus_000000012334,9900
in_000000158722,cus_000000012683,9900
in_000000158799,cus_000000012686,29900
in_000000158890,cus_000000012691,79900
in_000000159100,cus_000000012703,99000
in_000000159205,cus_000000012715,9900
in_000000159296,cus_000000012723,199900
in_000000159359,cus_000000012732,29900
in_000000159450,cus_000000012745,9900
in_000000160122,cus_000000012790,29900
in_000000160325,cus_000000012813,29900
in_000000160696,cus_000000012841,29900
in_000000160703,cus_000000012842,99000
in_000000160745,cus_000000012846,29900
in_000000160815,cus_000000012850,9900
in_000000161018,cus_000000012866,9900
in_000000161060,cus_000000012871,29900
in_000000161340,cus_000000012897,9900
in_000000161403,cus_000000012900,9900
in_000000161417,cus_000000012901,29900
in_000000161494,cus_000000012907,29900
in_000000161543,cus_000000012909,9900
in_000000154779,cus_000000012367,79900
in_000000154821,cus_000000012370,9900
in_000000154828,cus_000000012371,99000
in_000000161753,cus_000000012922,29900
in_000000161795,cus_000000012924,9900
in_000000161921,cus_000000012938,99000
in_000000162215,cus_000000012962,79900
in_000000162271,cus_000000012967,9900
in_000000154954,cus_000000012386,9900
in_000000155010,cus_000000012391,79900
in_000000152160,cus_000000012162,199900
in_000000152209,cus_000000012165,79900
in_000000152377,cus_000000012179,199900
in_000000152517,cus_000000012188,79900
in_000000152573,cus_000000012192,9900
in_000000162565,cus_000000012998,29900
in_000000162747,cus_000000013011,9900
in_000000162782,cus_000000013013,29900
in_000000155710,cus_000000012449,199900
in_000000156032,cus_000000012472,99000
in_000000163006,cus_000000013032,9900
in_000000163090,cus_000000013037,29900
in_000000163244,cus_000000013049,29900
in_000000156088,cus_000000012476,29900
in_000000156193,cus_000000012482,9900
in_000000163440,cus_000000013058,29900
in_000000163468,cus_000000013059,9900
in_000000163545,cus_000000013068,29900
in_000000163930,cus_000000013091,79900
in_000000151689,cus_000000012121,9900
in_000000151738,cus_000000012129,29900
in_000000151927,cus_000000012142,79900
in_000000152018,cus_000000012154,29900
in_000000156795,cus_000000012525,29900
in_000000156809,cus_000000012526,79900
in_000000156844,cus_000000012531,9900
in_000000156900,cus_000000012535,79900
in_000000157068,cus_000000012545,199900
in_000000157082,cus_000000012547,79900
in_000000164140,cus_000000013103,9900
in_000000164189,cus_000000013107,29900
in_000000164350,cus_000000013116,9900
in_000000164469,cus_000000013121,9900
in_000000164539,cus_000000013131,29900
in_000000164637,cus_000000013138,79900
in_000000165057,cus_000000013178,29900
in_000000165085,cus_000000013179,199900
in_000000157243,cus_000000012555,199900
in_000000157341,cus_000000012562,199900
in_000000157355,cus_000000012565,9900
in_000000157495,cus_000000012580,9900
in_000000165295,cus_000000013192,29900
in_000000165358,cus_000000013197,79900
in_000000165463,cus_000000013209,9900
in_000000165512,cus_000000013211,199900
in_000000157810,cus_000000012603,79900
in_000000158153,cus_000000012641,99000
in_000000165708,cus_000000013226,99000
in_000000165897,cus_000000013239,29900
in_000000166177,cus_000000013265,9900
in_000000166212,cus_000000013267,9900
in_000000166247,cus_000000013268,29900
in_000000166303,cus_000000013271,29900
in_000000166345,cus_000000013273,29900
in_000000166380,cus_000000013275,29900
in_000000166450,cus_000000013277,29900
in_000000166520,cus_000000013286,79900
in_000000158972,cus_000000012695,9900
in_000000159105,cus_000000012704,9900
in_000000159168,cus_000000012709,9900
in_000000159259,cus_000000012718,9900
in_000000159406,cus_000000012740,9900
in_000000166856,cus_000000013308,29900
in_000000167045,cus_000000013320,9900
in_000000167248,cus_000000013338,29900
in_000000167276,cus_000000013340,9900
in_000000167332,cus_000000013344,29900
in_000000159483,cus_000000012746,9900
in_000000159553,cus_000000012751,9900
in_000000159840,cus_000000012768,79900
in_000000159973,cus_000000012777,29900
in_000000160001,cus_000000012778,199900
in_000000167465,cus_000000013352,29900
in_000000167724,cus_000000013368,29900
in_000000167871,cus_000000013385,9900
in_000000151609,cus_000000012114,29900
in_000000151770,cus_000000012131,9900
in_000000152050,cus_000000012157,9900
in_000000152085,cus_000000012159,79900
in_000000152277,cus_000000012171,9900
in_000000152697,cus_000000012203,29900
in_000000152753,cus_000000012207,29900
in_000000152865,cus_000000012213,79900
in_000000152921,cus_000000012223,9900
in_000000153068,cus_000000012231,9900
in_000000152239,cus_000000012166,29900
in_000000152638,cus_000000012195,79900
in_000000153327,cus_000000012259,9900
in_000000153058,cus_000000012229,9900
