INVOICE_ID,PROCESSOR_CHARGE_COUNT,PROCESSOR_BALANCE_AMOUNT_CENTS,HAS_REFUND_ACTIVITY,HAS_DISPUTE_ACTIVITY,FIRST_BALANCE_AVAILABLE_DATE,LAST_BALANCE_AVAILABLE_DATE
in_000000259678,1,299000,0,0,2024-06-20,2024-06-20
in_000000078944,1,9900,0,0,2024-06-06,2024-06-06
in_000000079375,1,9900,0,0,2024-06-15,2024-06-15
in_000000233236,1,9900,0,0,2024-06-08,2024-06-08
in_000000051528,1,9900,0,0,2024-06-19,2024-06-19
in_000000311689,1,9900,0,0,2024-06-10,2024-06-10
in_000000232451,1,29900,0,0,2024-06-05,2024-06-05
in_000000112805,1,9900,0,0,2024-06-22,2024-06-22
in_000000077299,1,79900,0,0,2024-06-06,2024-06-06
in_000000263484,1,29900,0,0,2024-06-08,2024-06-08
in_000000260408,1,29900,0,0,2024-06-05,2024-06-05
in_000000294682,1,29900,0,0,2024-06-08,2024-06-08
in_000000252076,1,29900,0,0,2024-06-20,2024-06-20
in_000000081054,1,9900,0,0,2024-06-08,2024-06-08
in_000000131859,1,9900,0,0,2024-06-19,2024-06-19
in_000000007788,1,9900,0,0,2024-06-21,2024-06-21
in_000000017367,1,9900,0,0,2024-06-15,2024-06-15
in_000000315164,1,9900,0,0,2024-06-24,2024-06-24
in_000000022936,1,29900,0,0,2024-06-12,2024-06-12
in_000000175373,1,29900,0,0,2024-06-17,2024-06-17
in_000000180721,1,9900,0,0,2024-06-16,2024-06-16
in_000000038273,1,9900,0,0,2024-06-14,2024-06-14
in_000000236600,1,199900,0,0,2024-06-09,2024-06-09
in_000000080718,1,79900,0,0,2024-06-20,2024-06-20
in_000000300982,1,9900,0,0,2024-06-26,2024-06-26
in_000000256468,1,9900,0,0,2024-06-17,2024-06-17
in_000000235261,1,9900,0,0,2024-06-14,2024-06-14
in_000000010896,1,299000,0,0,2024-06-11,2024-06-11
in_000000025323,1,9900,0,0,2024-06-10,2024-06-10
in_000000162977,1,29900,0,0,2024-06-11,2024-06-11
in_000000220140,1,799000,0,0,2024-06-16,2024-06-16
in_000000147528,1,79900,0,0,2024-06-08,2024-06-08
in_000000066772,1,9900,0,0,2024-06-13,2024-06-13
in_000000320821,1,199900,0,0,2024-06-17,2024-06-17
in_000000000116,1,29900,0,0,2024-06-11,2024-06-11
in_000000158231,1,79900,0,0,2024-06-10,2024-06-10
in_000000005512,1,29900,0,0,2024-06-20,2024-06-20
in_000000246960,1,99000,0,0,2024-06-17,2024-06-17
in_000000083950,1,29900,0,0,2024-06-07,2024-06-07
in_000000136356,1,29900,0,0,2024-06-22,2024-06-22
in_000000119175,1,9900,0,0,2024-06-13,2024-06-13
in_000000276162,1,29900,0,0,2024-06-12,2024-06-12
in_000000275307,1,9900,0,0,2024-06-13,2024-06-13
in_000000164984,1,29900,0,0,2024-06-09,2024-06-09
