INVOICE_ID,PROCESSOR_BALANCE_AMOUNT_CENTS,PROCESSOR_CAPTURED_CHARGE_COUNT,PROCESSOR_UNCAPTURED_CHARGE_COUNT,PROCESSOR_FAILED_CHARGE_COUNT,HAS_REFUND_ACTIVITY,HAS_DISPUTE_ACTIVITY,HAS_DISPUTE_RAISED,HAS_DISPUTE_REVERSAL,HAS_CHARGE_WITHOUT_BALANCE,HAS_BALANCE_WITHOUT_CHARGE,FIRST_CHARGE_AVAILABLE_DATE,LAST_CHARGE_AVAILABLE_DATE
in_000000026927,9900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000016251,79900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000273730,29900,1,0,2,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000192835,79900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000107750,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000057538,79900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000278652,29900,1,0,2,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000119129,29900,1,0,1,0,0,0,0,0,0,2024-06-27,2024-06-27
in_000000006616,29900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000316700,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000158231,79900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000094100,29900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000298821,79900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000171100,29900,1,0,1,0,0,0,0,0,0,2024-06-10,2024-06-10
in_000000228114,9900,1,0,1,0,0,0,0,0,0,2024-06-04,2024-06-04
in_000000228544,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000007420,9900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000147559,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000062376,9900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000186880,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000021126,9900,1,0,1,0,0,0,0,0,0,2024-06-23,2024-06-23
in_000000199420,9900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000294640,79900,1,0,1,0,0,0,0,0,0,2024-06-09,2024-06-09
in_000000049597,199900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000166070,9900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000007195,79900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000168955,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000201790,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000072765,9900,1,0,1,0,0,0,0,0,0,2024-06-16,2024-06-16
in_000000028945,9900,1,0,2,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000005288,79900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000110507,28405,1,0,1,1,0,0,0,0,0,2024-06-16,2024-06-16
in_000000174658,29900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000245887,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000032027,9900,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000193357,29900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000011264,79900,1,0,1,0,0,0,0,0,0,2024-06-08,2024-06-08
in_000000291736,79900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000272371,79900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000196314,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000299767,99000,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000000461,79900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000178312,119600,1,0,1,0,1,1,0,0,0,2024-06-12,2024-06-12
in_000000086497,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000209674,9900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000264736,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000250388,9900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000249139,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000104485,29900,1,0,2,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000027651,79900,1,0,1,0,0,0,0,0,0,2024-06-15,2024-06-15
in_000000155826,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000108095,9900,1,0,1,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000312874,199900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000269248,29900,1,0,1,0,0,0,0,0,0,2024-06-06,2024-06-06
in_000000312596,299000,1,0,1,0,0,0,0,0,0,2024-06-18,2024-06-18
in_000000088913,29900,1,0,1,0,0,0,0,0,0,2024-06-17,2024-06-17
in_000000110850,29900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000059928,29900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000280875,9900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000146822,799000,1,0,2,0,0,0,0,0,0,2024-06-24,2024-06-24
in_000000134602,9900,1,0,1,0,0,0,0,0,0,2024-06-11,2024-06-11
in_000000299583,29900,1,0,1,0,0,0,0,0,0,2024-06-19,2024-06-19
in_000000299484,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000128604,29900,1,0,2,0,0,0,0,0,0,2024-06-14,2024-06-14
in_000000120387,199900,1,0,1,0,0,0,0,0,0,2024-06-07,2024-06-07
in_000000099390,79900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000216558,9900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000119538,9900,1,0,1,0,0,0,0,0,0,2024-06-20,2024-06-20
in_000000019393,29900,1,0,1,0,0,0,0,0,0,2024-06-22,2024-06-22
in_000000283681,79900,1,0,1,0,0,0,0,0,0,2024-06-21,2024-06-21
in_000000214179,9900,1,0,1,0,0,0,0,0,0,2024-06-13,2024-06-13
in_000000100775,79900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000313405,29900,1,0,2,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000287853,79900,1,0,1,0,0,0,0,0,0,2024-06-12,2024-06-12
in_000000199253,9900,1,0,1,0,0,0,0,0,0,2024-06-14,2024-06-14
