CUSTOMER_ID,FIRST_PAID_INVOICE_DATE,PAID_SIGNUP_COHORT_MONTH
cus_000000012112,2022-03-01,2022-03-01
cus_000000012115,2022-07-01,2022-07-01
cus_000000012201,2022-03-01,2022-03-01
cus_000000012175,2022-06-01,2022-06-01
cus_000000012220,2022-02-01,2022-02-01
cus_000000012179,2022-05-01,2022-05-01
cus_000000012244,2022-11-01,2022-11-01
cus_000000012290,2022-08-01,2022-08-01
cus_000000012300,2023-04-01,2023-04-01
cus_000000012274,2022-08-01,2022-08-01
cus_000000012320,2022-03-01,2022-03-01
cus_000000012327,2022-08-01,2022-08-01
cus_000000012328,2022-01-01,2022-01-01
cus_000000012316,2022-01-01,2022-01-01
cus_000000012346,2023-02-01,2023-02-01
cus_000000012362,2022-08-01,2022-08-01
cus_000000012367,2022-03-01,2022-03-01
cus_000000012387,2023-10-01,2023-10-01
cus_000000012403,2023-03-01,2023-03-01
cus_000000012411,2023-07-01,2023-07-01
cus_000000012418,2023-06-01,2023-06-01
cus_000000012423,2023-08-01,2023-08-01
cus_000000012427,2023-02-01,2023-02-01
cus_000000012434,2023-02-01,2023-02-01
cus_000000012435,2023-03-01,2023-03-01
cus_000000012441,2022-07-01,2022-07-01
cus_000000012453,2022-07-01,2022-07-01
cus_000000012455,2022-12-01,2022-12-01
cus_000000012462,2022-06-01,2022-06-01
cus_000000012480,2022-07-01,2022-07-01
cus_000000012499,2022-07-01,2022-07-01
cus_000000012502,2022-09-01,2022-09-01
cus_000000012556,2023-02-01,2023-02-01
cus_000000012586,2023-12-01,2023-12-01
cus_000000012648,2022-09-01,2022-09-01
cus_000000012649,2022-03-01,2022-03-01
cus_000000012690,2022-07-01,2022-07-01
cus_000000012705,2022-06-01,2022-06-01
cus_000000012728,2022-06-01,2022-06-01
cus_000000012747,2022-04-01,2022-04-01
cus_000000012374,2022-07-01,2022-07-01
cus_000000012426,2022-12-01,2022-12-01
cus_000000012479,2023-07-01,2023-07-01
cus_000000012587,2022-02-01,2022-02-01
cus_000000012691,2022-03-01,2022-03-01
cus_000000012695,2023-08-01,2023-08-01
cus_000000012700,2022-07-01,2022-07-01
cus_000000012790,2023-06-01,2023-06-01
cus_000000012799,2022-01-01,2022-01-01
cus_000000012815,2022-07-01,2022-07-01
cus_000000012818,2022-11-01,2022-11-01
cus_000000012851,2022-08-01,2022-08-01
cus_000000012854,2022-04-01,2022-04-01
cus_000000012862,2022-01-01,2022-01-01
cus_000000012891,2023-05-01,2023-05-01
cus_000000012908,2023-06-01,2023-06-01
cus_000000012914,2023-08-01,2023-08-01
cus_000000012959,2023-12-01,2023-12-01
cus_000000013011,2023-06-01,2023-06-01
cus_000000013012,2022-06-01,2022-06-01
cus_000000013013,2022-05-01,2022-05-01
cus_000000013026,2022-07-01,2022-07-01
cus_000000012507,2022-07-01,2022-07-01
cus_000000013068,2022-10-01,2022-10-01
cus_000000013083,2023-09-01,2023-09-01
cus_000000013087,2022-02-01,2022-02-01
cus_000000012113,2022-11-01,2022-11-01
cus_000000013103,2023-04-01,2023-04-01
cus_000000013108,2022-07-01,2022-07-01
cus_000000013116,2022-06-01,2022-06-01
cus_000000013121,2022-08-01,2022-08-01
cus_000000013169,2022-11-01,2022-11-01
cus_000000013175,2022-09-01,2022-09-01
cus_000000013181,2023-08-01,2023-08-01
cus_000000013182,2022-03-01,2022-03-01
cus_000000012613,2023-05-01,2023-05-01
cus_000000013234,2023-12-01,2023-12-01
cus_000000013247,2023-05-01,2023-05-01
cus_000000013251,2023-05-01,2023-05-01
cus_000000013265,2023-10-01,2023-10-01
cus_000000013266,2022-10-01,2022-10-01
cus_000000012661,2022-12-01,2022-12-01
cus_000000013271,2022-04-01,2022-04-01
cus_000000013319,2022-02-01,2022-02-01
cus_000000013323,2022-06-01,2022-06-01
cus_000000013327,2023-01-01,2023-01-01
cus_000000013335,2023-06-01,2023-06-01
cus_000000013339,2022-07-01,2022-07-01
cus_000000013358,2022-11-01,2022-11-01
cus_000000013379,2023-02-01,2023-02-01
cus_000000012969,2023-10-01,2023-10-01
cus_000000012284,2022-03-01,2022-03-01
cus_000000013426,2022-09-01,2022-09-01
cus_000000013433,2022-04-01,2022-04-01
cus_000000012820,2022-04-01,2022-04-01
